operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.234, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.245, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.278, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.25, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.125, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.169, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.306, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.253, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.228, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.242, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.228, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.232, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.201, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.199, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.238, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.211, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.226, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.208, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.197, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.27, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.26, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.228, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.203, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.253, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.247, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.205, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.203, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.211, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.214, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.222, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.266, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.221, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.253, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.206, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.205, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.218, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.197, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.211, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.247, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.28, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.199, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.204, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.202, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.237, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.205, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.223, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.249, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.196, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.234, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.23, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.239, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.252, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.205, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.209, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.254, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.212, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.197, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.201, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.201, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.206, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.202, vcma, matrix order, time, allocator, (NxN), seconds, 
